Starting training for 20000 steps...
Output directory: ./outputs_olmoearth
W&B logging enabled - Project: alpha-earth-foundations, Run: second-2026-02-08
Training:   0%|                                                                                                         | 0/20000 [00:00<?, ?step/s]/root/alphaearth-foundations/src/alphaearth/training.py:165: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  self.loss_history['total'].append(float(loss))
Training:   2%|▉                                                      | 319/20000 [08:44<3:55:45,  1.39step/s, recon_loss=0.0979, total_loss=0.1359]

step 00020/20000 (0.1%) | total 0.2059 | recon 0.1560 | uni 0.9981 | cons 0.0000 | clip 0.0000 | ETA: 78.56h (0.07 steps/s)
step 03340/20000 (16.7%) | total 0.0560 | recon 0.0546 | uni 0.0240 | cons 0.0082 | clip 0.0000 | ETA: 4.27h (1.08 steps/s)

step 03360/20000 (16.8%) | total 0.0584 | recon 0.0569 | uni 0.0301 | cons -0.0000 | clip 0.0000 | ETA: 4.26h (1.08 steps/s)

step 03380/20000 (16.9%) | total 0.0334 | recon 0.0325 | uni 0.0188 | cons -0.0000 | clip 0.0000 | ETA: 4.25h (1.09 steps/s)

step 03400/20000 (17.0%) | total 0.0415 | recon 0.0394 | uni 0.0206 | cons 0.0535 | clip 0.0000 | ETA: 4.25h (1.09 steps/s)

step 03420/20000 (17.1%) | total 0.0400 | recon 0.0384 | uni 0.0318 | cons -0.0000 | clip 0.0000 | ETA: 4.24h (1.09 steps/s)

step 03440/20000 (17.2%) | total 0.0531 | recon 0.0522 | uni 0.0176 | cons -0.0000 | clip 0.0000 | ETA: 4.23h (1.09 steps/s)

step 03460/20000 (17.3%) | total 0.0394 | recon 0.0384 | uni 0.0193 | cons 0.0034 | clip 0.0000 | ETA: 4.23h (1.09 steps/s)

step 03480/20000 (17.4%) | total 0.0333 | recon 0.0323 | uni 0.0200 | cons -0.0000 | clip 0.0000 | ETA: 4.22h (1.09 steps/s)

step 03500/20000 (17.5%) | total 0.0424 | recon 0.0415 | uni 0.0171 | cons -0.0000 | clip 0.0000 | ETA: 4.21h (1.09 steps/s)

step 03520/20000 (17.6%) | total 0.0437 | recon 0.0425 | uni 0.0168 | cons 0.0180 | clip 0.0000 | ETA: 4.20h (1.09 steps/s)

step 03540/20000 (17.7%) | total 0.0478 | recon 0.0464 | uni 0.0286 | cons -0.0000 | clip 0.0000 | ETA: 4.20h (1.09 steps/s)

step 03560/20000 (17.8%) | total 0.0385 | recon 0.0374 | uni 0.0227 | cons -0.0000 | clip 0.0000 | ETA: 4.19h (1.09 steps/s)

step 03580/20000 (17.9%) | total 0.0492 | recon 0.0480 | uni 0.0240 | cons -0.0000 | clip 0.0000 | ETA: 4.19h (1.09 steps/s)

step 03600/20000 (18.0%) | total 0.0444 | recon 0.0433 | uni 0.0192 | cons 0.0078 | clip 0.0000 | ETA: 4.18h (1.09 steps/s)

step 03620/20000 (18.1%) | total 0.0414 | recon 0.0398 | uni 0.0167 | cons 0.0366 | clip 0.0000 | ETA: 4.17h (1.09 steps/s)

step 03640/20000 (18.2%) | total 0.0597 | recon 0.0582 | uni 0.0244 | cons 0.0127 | clip 0.0000 | ETA: 4.17h (1.09 steps/s)

Received signal 2, saving data and exiting gracefully...
